iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
CMR,Africa,Cameroon,2020-10-01,20838.0,0.0,21.143,418.0,0.0,0.28600000000000003,784.9810000000001,0.0,0.7959999999999999,15.745999999999999,0.0,0.011000000000000001,,,,,,,,,,52.78,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.66099999999997,7.2,,,2.735,1.3,59.29,0.556
COD,Africa,Democratic Republic of Congo,2020-10-01,10659.0,29.0,17.570999999999998,272.0,1.0,0.28600000000000003,119.01299999999999,0.324,0.196,3.037,0.011000000000000001,0.003,,253.0,,0.003,199.0,0.002,11.325,0.08800000000000001,samples tested,39.81,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.457
COG,Africa,Congo,2020-10-01,5089.0,0.0,12.0,89.0,0.0,0.0,922.2389999999999,0.0,2.175,16.129,0.0,0.0,,,,,,,,,,56.48,5518092.0,15.405,19.0,3.4019999999999997,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.606
COL,South America,Colombia,2020-10-01,829679.0,5637.0,6487.286,25998.0,170.0,178.857,16305.66,110.78399999999999,127.494,510.93800000000005,3.341,3.515,3370811.0,23504.0,66.24600000000001,0.462,23291.0,0.45799999999999996,,,samples tested,71.3,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,124.24,7.44,4.7,13.5,65.38600000000001,1.71,77.29,0.747
COM,Africa,Comoros,2020-10-01,479.0,0.0,1.286,7.0,0.0,0.0,550.831,0.0,1.479,8.05,0.0,0.0,,,,,,,,,,,869595.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.51599999999996,11.88,4.4,23.6,15.574000000000002,2.2,64.32,0.503
CPV,Africa,Cape Verde,2020-10-01,6024.0,124.0,87.429,60.0,1.0,0.857,10834.766000000001,223.02599999999998,157.249,107.916,1.7990000000000002,1.5419999999999998,,,,,,,,,,68.98,555988.0,135.58,25.7,4.46,3.437,6222.554,,182.21900000000002,2.42,2.1,16.5,,2.1,72.98,0.654
CRI,North America,Costa Rica,2020-10-01,75760.0,1156.0,1100.143,904.0,24.0,17.570999999999998,14872.066,226.929,215.96400000000003,177.46,4.711,3.449,206891.0,1852.0,40.614000000000004,0.364,2393.0,0.47,,,people tested (incl. non-PCR),62.96,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794
CUB,North America,Cuba,2020-10-01,5597.0,66.0,46.714,122.0,0.0,0.5710000000000001,494.14599999999996,5.827000000000001,4.124,10.770999999999999,0.0,0.05,628725.0,7545.0,55.50899999999999,0.6659999999999999,7368.0,0.6509999999999999,157.725,0.006,tests performed,78.7,11326616.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
CUW,North America,Curacao,2020-10-01,392.0,22.0,13.0,1.0,0.0,0.0,2388.7870000000003,134.065,79.22,6.093999999999999,0.0,0.0,,,,,,,,,,,164100.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,
CYM,North America,Cayman Islands,2020-10-01,211.0,0.0,0.14300000000000002,1.0,0.0,0.0,3210.59,0.0,2.174,15.216,0.0,0.0,,,,,,,,,,,65720.0,256.496,,,,49903.029,,,13.22,,,,,83.92,
