location,total_cases_per_million,total_deaths_per_million,total_tests_per_thousand,tests_per_case,positive_rate,stringency_index,population,population_density,median_age,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Japan,656.328,12.366,,47.041,0.021,31.48,126476458.0,347.778,48.2,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.909
Kazakhstan,7507.066999999999,110.77600000000001,158.361,56.264,0.018000000000000002,78.7,18776707.0,6.681,30.6,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.8
Kenya,716.535,13.222999999999999,10.277999999999999,21.456,0.047,67.59,53771300.0,87.324,20.0,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59
Kyrgyzstan,7179.5869999999995,163.239,,,,67.13,6524191.0,32.333,26.3,2.8819999999999997,3393.474,1.4,436.36199999999997,7.11,3.6,50.5,89.22,4.5,71.45,0.672
Cambodia,16.567999999999998,,,,,37.04,16718971.0,90.67200000000001,25.6,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.5820000000000001
Saint Kitts and Nevis,357.19699999999995,,,,,,53192.0,212.865,,,24654.385,,,12.84,,,,2.3,76.23,0.778
South Korea,464.45099999999996,8.056000000000001,45.025,127.783,0.008,54.63,51269183.0,527.967,43.4,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.903
Kuwait,24629.539,142.838,175.893,6.731,0.149,65.74,4270563.0,232.128,33.7,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,0.8029999999999999
Laos,3.161,,,,,32.41,7275556.0,29.715,24.4,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.601
Lebanon,5806.803000000001,53.769,,,,59.26,6825442.0,594.561,31.1,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.757
Liberia,265.53700000000003,16.213,,,,60.19,5057677.0,49.126999999999995,19.2,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.435
Libya,5024.532,80.189,,,,86.11,6871287.0,3.623,29.0,2.8160000000000003,17881.509,,341.86199999999997,10.43,,,,3.7,72.91,0.706
Saint Lucia,147.036,,,,,,183629.0,293.187,34.9,6.405,12951.839,,204.62,11.62,,,87.20200000000001,1.3,76.2,0.747
Liechtenstein,3146.551,26.221,,,,,38137.0,237.012,,,,,,7.77,,,,2.397,82.49,0.9159999999999999
Sri Lanka,157.846,0.607,13.595,231.375,0.004,23.15,21413250.0,341.955,34.1,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.77
Lesotho,744.544,16.805,,,,59.26,2142252.0,73.562,22.2,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.52
Lithuania,1723.9160000000002,33.795,287.243,49.653,0.02,22.22,2722291.0,45.135,43.5,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.858
Luxembourg,13593.173,198.09099999999998,1350.967,90.616,0.011,43.52,625976.0,231.447,39.7,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.904
Latvia,967.023,19.616,172.15400000000002,81.333,0.012,42.59,1886202.0,31.212,43.9,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.847
Morocco,3350.071,59.441,71.62899999999999,10.227,0.098,65.74,36910558.0,80.08,29.6,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.667
Monaco,5554.9890000000005,25.482,,,,,39244.0,19347.5,,,,,,5.46,,,,13.8,86.75,
Moldova,13148.856000000002,327.222,,,,44.44,4033963.0,123.655,37.6,6.955,5189.972,0.2,408.50199999999995,5.72,5.9,44.6,86.979,5.8,71.9,0.7
Madagascar,592.539,8.306000000000001,2.5669999999999997,9.556,0.105,48.15,27691019.0,43.951,19.6,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.519
Maldives,19038.299,62.9,287.582,25.914,0.039,,540542.0,1454.433,30.6,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.7170000000000001
Mexico,6121.687,602.221,13.440999999999999,2.553,0.392,73.61,128932753.0,66.444,29.3,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,0.774
Macedonia,8628.767,354.712,,,,,2083380.0,82.6,39.1,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.757
Mali,153.969,6.468999999999999,,,,39.81,20250834.0,15.196,16.4,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.42700000000000005
Malta,6925.776,77.003,,,,,441539.0,1454.037,42.4,11.324000000000002,36513.323,0.2,168.71099999999998,8.83,20.9,30.2,,4.485,82.53,0.878
Myanmar,245.783,5.6979999999999995,4.997,5.305,0.189,81.02,54409794.0,81.721,29.1,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.28699999999999,0.9,67.13,0.578
Montenegro,17151.173,269.082,,,,,628062.0,46.28,39.1,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.8140000000000001
Mongolia,95.477,,,,,42.59,3278292.0,1.98,28.6,2.421,11840.846000000001,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.741
Northern Mariana Islands,1216.1860000000001,34.748000000000005,,,,,57557.0,119.87799999999999,,,,,194.99400000000003,,,,,,76.74,
Mozambique,279.247,1.952,4.489,6.99,0.14300000000000002,62.04,31255435.0,37.728,17.7,1.87,1136.103,62.9,329.94199999999995,3.3,5.1,29.1,12.227,0.7,60.85,0.43700000000000006
Mauritania,1610.44,34.626,,,,13.89,4649660.0,4.289,20.3,1.7919999999999998,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.52
Montserrat,2600.52,200.04,,,,,4999.0,,,,,,,,,,,,74.16,
Mauritius,299.58299999999997,7.8629999999999995,,,,16.67,1271767.0,622.962,37.4,5.8839999999999995,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.79
Malawi,301.778,9.357000000000001,,68.444,0.015,54.63,19129955.0,197.519,18.1,1.7830000000000001,1095.042,71.4,227.34900000000002,3.94,4.4,24.7,8.704,1.3,64.26,0.47700000000000004
Malaysia,344.034,4.14,48.41,130.211,0.008,50.93,32365998.0,96.25399999999999,29.9,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.802
Namibia,4433.441,47.621,39.113,10.698,0.093,56.48,2540916.0,3.0780000000000003,22.0,2.085,9541.808,13.4,243.81099999999998,3.94,9.7,34.2,44.6,,63.71,0.647
New Caledonia,94.574,,,,,,285491.0,15.342,33.4,6.489,,,,23.36,,,,,77.55,
Niger,49.449,2.85,,,,11.11,24206636.0,16.955,15.1,1.3780000000000001,926.0,44.5,238.33900000000003,2.42,0.1,15.4,8.978,0.3,62.42,0.354
Nigeria,285.476,5.394,,23.012,0.043,48.15,206139587.0,209.588,18.1,1.4469999999999998,5338.454000000001,,181.013,2.42,0.6,10.8,41.949,,54.69,0.532
Nicaragua,780.43,22.794,,,,8.33,6624554.0,51.667,27.3,3.5189999999999997,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.6579999999999999
Netherlands,7044.8730000000005,373.332,,9.893,0.101,58.33,17134873.0,508.54400000000004,43.2,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.9309999999999999
Norway,2566.571,50.542,236.68099999999998,115.022,0.009000000000000001,28.7,5421242.0,14.462,39.7,10.812999999999999,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.953
